"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2024","185.14","182.00","185.59","181.52","","2.19%"
"12/31/2023","181.18","187.15","188.44","180.17","275.27M","-5.90%"
"12/24/2023","192.53","193.61","194.66","191.09","153.73M","-0.55%"
"12/17/2023","193.60","196.09","197.68","192.97","232.34M","-2.01%"
"12/10/2023","197.57","193.11","199.62","191.42","379.41M","0.95%"
"12/03/2023","195.71","189.98","195.99","187.45","251.99M","2.34%"
"11/26/2023","191.24","189.92","192.09","188.19","216.48M","0.67%"
"11/19/2023","189.97","189.89","192.93","189.25","148.35M","0.15%"
"11/12/2023","189.69","185.82","190.96","184.21","262.88M","1.77%"
"11/05/2023","186.40","176.38","186.57","176.21","303.65M","5.52%"
"10/29/2023","176.65","169.02","177.78","167.90","310.08M","5.01%"
"10/22/2023","168.22","170.91","174.01","165.67","286.08M","-2.70%"
"10/15/2023","172.88","176.75","179.07","172.64","288.38M","-3.34%"
"10/08/2023","178.85","176.81","182.34","175.80","241.84M","0.77%"
"10/01/2023","177.49","171.22","177.99","170.82","260.57M","3.67%"
"09/24/2023","171.21","174.20","176.97","167.62","285.84M","-2.05%"
"09/17/2023","174.79","176.48","179.70","173.86","297.40M","-0.13%"
"09/10/2023","175.01","180.07","180.30","173.58","403.75M","-1.78%"
"09/03/2023","178.18","188.28","189.98","173.54","305.13M","-5.95%"
"08/27/2023","189.46","180.09","189.92","178.54","264.20M","6.07%"
"08/20/2023","178.61","175.07","181.55","173.74","247.51M","2.36%"
"08/13/2023","174.49","177.97","179.69","171.96","261.50M","-1.86%"
"08/06/2023","177.79","182.13","183.13","176.55","332.50M","-2.31%"
"07/30/2023","181.99","196.06","196.73","181.92","302.70M","-7.07%"
"07/23/2023","195.83","193.41","197.20","192.25","226.01M","2.03%"
"07/16/2023","191.94","191.90","198.23","191.23","310.91M","0.66%"
"07/09/2023","190.69","189.26","191.70","186.60","250.27M","0.01%"
"07/02/2023","190.68","193.78","193.88","189.20","170.35M","-1.70%"
"06/25/2023","193.97","186.83","194.48","185.23","281.60M","3.91%"
"06/18/2023","186.68","184.41","187.56","182.59","203.68M","0.95%"
"06/11/2023","184.92","181.27","186.99","180.97","333.84M","2.19%"
"06/04/2023","180.96","182.63","184.95","177.32","347.85M","0.01%"
"05/28/2023","180.95","176.96","181.78","176.57","286.49M","3.15%"
"05/21/2023","175.43","173.98","175.77","170.52","250.35M","0.15%"
"05/14/2023","175.16","173.16","176.39","170.42","258.63M","1.50%"
"05/07/2023","172.57","172.48","174.59","171.00","250.06M","-0.58%"
"04/30/2023","173.57","169.28","174.30","164.31","360.72M","2.29%"
"04/23/2023","169.68","165.00","169.85","162.80","256.34M","2.82%"
"04/16/2023","165.02","165.09","168.16","164.03","249.95M","-0.12%"
"04/09/2023","165.21","161.42","166.32","159.78","263.33M","0.33%"
"04/02/2023","164.66","164.27","166.84","161.80","200.16M","-0.15%"
"03/26/2023","164.90","159.94","165.00","155.98","267.94M","2.90%"
"03/19/2023","160.25","155.07","162.14","154.15","350.16M","3.39%"
"03/12/2023","155.00","147.80","156.74","147.70","410.52M","4.38%"
"03/05/2023","148.50","153.79","156.30","147.61","313.35M","-1.68%"
"02/26/2023","151.03","147.71","151.11","143.90","274.04M","2.94%"
"02/19/2023","146.71","150.20","151.30","145.72","213.74M","-3.83%"
"02/12/2023","152.55","150.95","156.33","150.85","316.89M","1.02%"
"02/05/2023","151.01","152.57","155.23","149.22","330.76M","-2.26%"
"01/29/2023","154.50","144.96","157.38","141.32","480.25M","5.87%"
"01/22/2023","145.93","138.12","147.23","137.90","338.66M","5.85%"
"01/15/2023","137.87","134.83","138.61","133.77","271.82M","2.31%"
"01/08/2023","134.76","130.46","134.92","128.12","333.34M","3.97%"
"01/01/2023","129.62","130.28","130.90","124.17","369.95M","-0.24%"
"12/25/2022","129.93","131.38","131.41","125.87","307.18M","-1.46%"
"12/18/2022","131.86","135.11","136.81","129.64","384.62M","-1.97%"
"12/11/2022","134.51","142.70","149.97","133.73","505.73M","-5.38%"
"12/04/2022","142.16","147.77","150.92","140.00","341.50M","-3.82%"
"11/27/2022","147.81","145.14","149.13","140.35","401.19M","-0.20%"
"11/20/2022","148.11","150.16","151.83","146.93","204.02M","-2.10%"
"11/13/2022","151.29","148.97","153.59","146.15","382.68M","1.06%"
"11/06/2022","149.70","137.11","150.01","134.59","461.04M","8.18%"
