"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2024","151.37","146.90","151.69","146.20","","4.22%"
"12/31/2023","145.24","151.54","152.38","144.05","197.96M","-4.41%"
"12/24/2023","151.94","153.56","154.78","151.03","123.38M","-0.96%"
"12/17/2023","153.42","150.56","155.63","150.05","221.83M","2.30%"
"12/10/2023","149.97","145.66","150.57","143.64","317.11M","1.73%"
"12/03/2023","147.42","145.25","148.57","142.81","229.05M","0.27%"
"11/26/2023","147.03","147.53","149.26","144.33","242.85M","0.20%"
"11/19/2023","146.74","145.13","147.74","141.50","181.28M","1.07%"
"11/12/2023","145.18","142.08","147.29","139.52","255.56M","1.13%"
"11/05/2023","143.56","138.76","143.65","138.36","228.63M","3.58%"
"10/29/2023","138.60","129.72","139.49","128.56","281.90M","8.50%"
"10/22/2023","127.74","124.63","130.02","118.35","395.04M","2.05%"
"10/15/2023","125.17","130.69","133.07","124.97","252.24M","-3.56%"
"10/08/2023","129.79","126.22","134.48","124.76","223.05M","1.43%"
"10/01/2023","127.96","127.28","130.47","124.13","230.30M","0.66%"
"09/24/2023","127.12","129.36","131.78","123.04","302.59M","-1.55%"
"09/17/2023","129.12","140.48","141.75","128.52","280.82M","-8.03%"
"09/10/2023","140.39","138.75","145.86","138.64","326.84M","1.56%"
"09/03/2023","138.23","137.73","138.85","133.16","169.29M","0.08%"
"08/27/2023","138.12","133.78","139.96","131.85","208.66M","3.65%"
"08/20/2023","133.26","133.74","136.77","130.58","204.97M","0.03%"
"08/13/2023","133.22","138.30","141.28","131.15","228.46M","-3.75%"
"08/06/2023","138.41","140.99","142.54","137.00","274.78M","-0.83%"
"07/30/2023","139.57","133.20","143.63","126.41","379.52M","5.57%"
"07/23/2023","132.21","130.30","133.01","126.11","237.75M","1.70%"
"07/16/2023","130.00","134.56","135.99","128.41","351.08M","-3.47%"
"07/09/2023","134.68","129.07","136.65","125.92","281.52M","3.78%"
"07/02/2023","129.78","130.82","131.85","127.37","146.85M","-0.44%"
"06/25/2023","130.36","129.33","131.49","127.10","254.05M","0.80%"
"06/18/2023","129.33","124.97","130.84","123.85","271.35M","3.06%"
"06/11/2023","125.49","124.02","128.41","123.53","299.17M","1.67%"
"06/04/2023","123.43","123.36","127.40","120.63","302.86M","-0.66%"
"05/28/2023","124.25","122.37","126.39","119.17","252.76M","3.45%"
"05/21/2023","120.11","116.77","121.50","113.78","365.08M","3.32%"
"05/14/2023","116.25","111.15","118.60","109.25","318.37M","5.43%"
"05/07/2023","110.26","105.04","113.28","104.70","296.92M","4.36%"
"04/30/2023","105.65","104.95","105.96","101.15","315.55M","0.19%"
"04/23/2023","105.45","107.65","110.86","102.45","489.08M","-1.41%"
"04/16/2023","106.96","103.16","108.15","101.39","282.58M","4.34%"
"04/09/2023","102.51","100.96","103.20","97.71","273.79M","0.44%"
"04/02/2023","102.06","102.30","104.20","99.80","178.78M","-1.19%"
"03/26/2023","103.29","99.07","103.49","96.29","245.61M","5.26%"
"03/19/2023","98.13","98.41","102.10","95.70","292.17M","-0.83%"
"03/12/2023","98.95","89.97","100.99","88.12","375.90M","9.06%"
"03/05/2023","90.73","95.19","96.54","90.25","272.16M","-4.39%"
"02/26/2023","94.90","94.28","94.94","90.39","255.06M","1.50%"
"02/19/2023","93.50","95.33","97.01","92.32","221.64M","-3.81%"
"02/12/2023","97.20","97.85","101.17","95.65","273.47M","-0.42%"
"02/05/2023","97.61","102.93","103.95","96.23","394.69M","-5.59%"
"01/29/2023","103.39","101.09","114.00","99.01","520.20M","1.12%"
"01/22/2023","102.24","97.56","103.48","91.52","393.99M","5.13%"
"01/15/2023","97.25","98.68","99.32","92.86","288.81M","-0.89%"
"01/08/2023","98.12","87.46","98.37","87.08","406.95M","13.99%"
"01/01/2023","86.08","85.46","86.98","81.43","296.83M","2.48%"
"12/25/2022","84.00","84.97","85.35","81.69","232.91M","-1.47%"
"12/18/2022","85.25","87.51","87.63","82.25","356.01M","-2.97%"
"12/11/2022","87.86","89.21","96.25","86.73","463.46M","-1.38%"
"12/04/2022","89.09","93.05","94.06","87.48","355.83M","-5.35%"
"11/27/2022","94.13","93.93","97.23","91.44","384.42M","0.77%"
"11/20/2022","93.41","93.97","95.02","90.59","241.03M","-0.78%"
"11/13/2022","94.14","98.77","103.79","92.48","453.87M","-6.60%"
"11/06/2022","100.79","91.95","101.19","85.87","542.00M","10.78%"
"10/30/2022","90.98","103.56","104.87","88.04","654.17M","-12.02%"
"10/23/2022","103.41","119.98","121.32","97.66","522.21M","-13.33%"
"10/16/2022","119.32","110.11","119.59","110.09","280.04M","11.62%"
"10/09/2022","106.90","115.10","116.25","105.34","299.11M","-6.69%"
"10/02/2022","114.56","113.58","123.00","112.45","258.90M","1.38%"
"09/25/2022","113.00","113.30","118.70","112.84","297.03M","-0.69%"
"09/18/2022","113.78","122.16","124.71","112.06","273.83M","-7.89%"
"09/11/2022","123.53","134.09","136.49","120.70","340.39M","-7.31%"
"09/04/2022","133.27","127.92","133.69","124.74","185.13M","4.52%"
"08/28/2022","127.51","129.90","132.07","123.66","265.02M","-2.48%"
"08/21/2022","130.75","135.72","137.83","130.50","216.16M","-5.41%"
"08/14/2022","138.23","142.80","146.57","137.91","231.52M","-3.71%"
"08/07/2022","143.55","142.05","144.60","136.21","240.02M","1.95%"
"07/31/2022","140.80","134.96","143.56","133.51","331.87M","4.33%"
"07/24/2022","134.95","122.69","137.65","114.53","410.02M","10.24%"
"07/17/2022","122.42","115.00","125.50","113.15","303.08M","7.81%"
"07/10/2022","113.55","114.08","115.59","106.01","304.66M","-1.72%"
"07/03/2022","115.54","107.60","116.99","106.32","247.24M","5.46%"
"06/26/2022","109.56","117.09","117.98","102.52","374.38M","-5.92%"
"06/19/2022","116.46","108.20","116.71","103.56","265.15M","9.64%"
"06/12/2022","106.22","104.19","109.06","101.43","435.98M","-3.13%"
"06/05/2022","109.65","125.25","128.99","109.05","439.79M","-10.38%"
"05/29/2022","122.35","116.28","125.61","115.67","470.33M","6.25%"
"05/22/2022","115.15","108.46","115.19","101.26","490.51M","7.03%"
"05/15/2022","107.59","113.10","115.80","105.01","447.04M","-4.84%"
"05/08/2022","113.06","111.31","114.00","102.41","568.97M","-1.49%"
"05/01/2022","114.77","122.40","126.22","113.08","607.32M","-7.65%"
"04/24/2022","124.28","144.02","146.22","121.62","600.72M","-13.90%"
"04/17/2022","144.35","151.52","158.65","143.70","298.12M","-4.85%"
"04/10/2022","151.71","152.71","156.03","149.60","212.28M","-1.78%"
"04/03/2022","154.46","164.12","168.39","154.23","296.93M","-5.56%"
