"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2024","140.95","136.59","141.49","136.28","","3.85%"
"12/31/2023","135.73","138.55","139.63","135.15","97.58M","-2.83%"
"12/24/2023","139.69","141.59","142.68","138.78","71.19M","-1.27%"
"12/17/2023","141.49","132.63","141.99","132.43","160.86M","6.70%"
"12/10/2023","132.60","132.38","133.72","129.68","179.84M","-1.77%"
"12/03/2023","134.99","129.88","138.56","127.90","176.66M","2.37%"
"11/26/2023","131.86","136.03","138.42","130.66","136.56M","-3.53%"
"11/19/2023","136.69","133.69","139.42","133.62","80.82M","1.02%"
"11/12/2023","135.31","131.78","137.22","131.25","139.88M","2.05%"
"11/05/2023","132.59","129.05","132.80","128.67","125.91M","2.70%"
"10/29/2023","129.10","123.21","129.52","122.68","138.83M","5.67%"
"10/22/2023","122.17","135.04","139.36","120.21","257.13M","-9.90%"
"10/15/2023","135.60","138.17","140.72","135.08","127.79M","-1.28%"
"10/08/2023","137.36","136.94","141.22","135.61","121.15M","-0.16%"
"10/01/2023","137.58","131.21","138.15","131.17","119.46M","5.14%"
"09/24/2023","130.86","129.83","134.05","127.22","121.93M","0.47%"
"09/17/2023","130.25","136.61","139.16","129.60","130.04M","-5.20%"
"09/10/2023","137.40","136.54","138.70","134.15","123.59M","0.75%"
"09/03/2023","136.38","135.44","136.66","132.95","80.52M","0.53%"
"08/27/2023","135.66","131.31","138.00","130.14","143.53M","4.45%"
"08/20/2023","129.88","127.18","134.25","126.56","130.40M","1.90%"
"08/13/2023","127.46","129.39","131.99","126.38","133.63M","-1.62%"
"08/06/2023","129.56","129.16","132.05","128.17","111.64M","1.13%"
"07/30/2023","128.11","132.73","133.52","127.42","123.91M","-3.37%"
"07/23/2023","132.58","121.66","133.74","120.98","225.46M","10.46%"
"07/16/2023","120.02","125.94","127.10","118.22","198.68M","-4.31%"
"07/09/2023","125.42","118.30","126.78","115.35","166.38M","4.97%"
"07/02/2023","119.48","119.24","122.61","118.40","88.54M","-0.18%"
"06/25/2023","119.70","120.76","122.00","116.10","154.22M","-2.16%"
"06/18/2023","122.34","122.93","124.57","118.83","118.27M","-0.96%"
"06/11/2023","123.53","122.79","126.11","121.45","161.99M","1.06%"
"06/04/2023","122.23","124.01","129.04","121.24","164.65M","-1.96%"
"05/28/2023","124.67","125.64","126.15","122.00","130.16M","0.05%"
"05/21/2023","124.61","122.94","126.43","119.86","181.44M","1.51%"
"05/14/2023","122.76","116.11","125.97","116.01","191.21M","4.47%"
"05/07/2023","117.51","105.18","118.03","105.16","246.03M","11.31%"
"04/30/2023","105.57","106.84","107.99","103.71","129.53M","-1.65%"
"04/23/2023","107.34","105.49","108.37","102.63","209.78M","1.83%"
"04/16/2023","105.41","104.66","106.54","103.07","138.69M","-3.18%"
"04/09/2023","108.87","106.98","108.94","104.34","129.17M","0.42%"
"04/02/2023","108.42","102.39","109.17","101.93","126.46M","4.52%"
"03/26/2023","103.73","104.61","104.76","99.74","161.91M","-1.62%"
"03/19/2023","105.44","100.12","106.59","99.87","189.71M","3.76%"
"03/12/2023","101.62","90.09","102.83","89.42","250.60M","12.13%"
"03/05/2023","90.63","94.01","95.97","90.39","159.33M","-3.22%"
"02/26/2023","93.65","89.87","93.73","89.32","156.14M","5.07%"
