"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2024","142.56","138.00","142.80","137.91","19.28M","3.76%"
"12/31/2023","137.39","139.60","141.09","136.85","72.74M","-2.51%"
"12/24/2023","140.93","142.98","143.95","139.90","55.53M","-1.25%"
"12/17/2023","142.72","133.86","143.25","133.77","116.48M","6.63%"
"12/10/2023","133.84","133.82","135.04","131.06","164.71M","-2.05%"
"12/03/2023","136.64","131.29","140.00","129.40","121.15M","2.49%"
"11/26/2023","133.32","137.57","139.67","132.15","110.13M","-3.55%"
"11/19/2023","138.22","135.50","141.10","135.49","63.38M","0.93%"
"11/12/2023","136.94","133.36","138.88","132.77","97.77M","2.15%"
"11/05/2023","134.06","130.22","134.27","129.93","88.53M","2.83%"
"10/29/2023","130.37","124.46","130.73","123.88","115.45M","5.65%"
"10/22/2023","123.40","136.23","140.71","121.46","177.39M","-9.76%"
"10/15/2023","136.74","139.73","141.99","136.24","99.88M","-1.33%"
"10/08/2023","138.58","137.99","142.38","136.70","93.92M","-0.11%"
"10/01/2023","138.73","132.15","139.19","132.07","98.44M","5.22%"
"09/24/2023","131.85","130.77","134.89","128.19","95.23M","0.46%"
"09/17/2023","131.25","137.63","139.93","130.51","92.61M","-5.10%"
"09/10/2023","138.30","137.38","139.55","134.93","116.81M","0.80%"
"09/03/2023","137.20","136.44","137.51","133.96","68.34M","0.29%"
"08/27/2023","136.80","132.08","138.58","130.85","114.11M","4.68%"
"08/20/2023","130.69","127.85","134.97","127.16","103.28M","2.01%"
"08/13/2023","128.11","129.85","132.49","127.00","97.14M","-1.58%"
"08/06/2023","130.17","129.51","132.65","128.75","85.26M","1.27%"
"07/30/2023","128.54","133.01","133.83","127.78","98.92M","-3.36%"
"07/23/2023","133.01","121.93","134.07","121.38","163.25M","10.56%"
"07/16/2023","120.31","126.06","127.28","118.68","148.12M","-4.29%"
"07/09/2023","125.70","119.07","127.09","115.83","125.34M","4.63%"
"07/02/2023","120.14","120.32","123.37","119.25","70.47M","-0.69%"
"06/25/2023","120.97","121.47","122.72","116.91","112.55M","-1.67%"
"06/18/2023","123.02","123.54","125.18","119.60","95.67M","-0.84%"
"06/11/2023","124.06","123.39","126.70","122.16","147.45M","0.97%"
"06/04/2023","122.87","124.61","129.55","122.01","121.43M","-1.88%"
"05/28/2023","125.23","126.29","126.75","122.89","113.17M","-0.16%"
"05/21/2023","125.43","123.51","127.05","120.75","136.31M","1.77%"
"05/14/2023","123.25","116.49","126.48","116.48","138.42M","4.52%"
"05/07/2023","117.92","105.79","118.44","105.79","177.99M","11.02%"
"04/30/2023","106.21","107.72","108.68","104.50","98.88M","-1.85%"
"04/23/2023","108.22","106.05","109.15","103.27","152.08M","2.18%"
"04/16/2023","105.91","105.43","107.05","103.80","108.31M","-3.24%"
