"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2024","482.09","474.90","485.24","473.68","","1.69%"
"12/31/2023","474.06","483.18","484.65","461.86","14.76M","-2.63%"
"12/24/2023","486.88","489.39","494.02","481.93","9.05M","0.02%"
"12/17/2023","486.76","476.30","500.89","475.10","20.28M","3.11%"
"12/10/2023","472.06","459.36","481.25","457.21","27.07M","4.03%"
"12/03/2023","453.76","460.99","461.20","445.73","19.68M","-2.57%"
"11/26/2023","465.74","479.03","482.00","464.60","18.00M","-2.88%"
"11/19/2023","479.56","465.40","482.70","465.40","10.87M","2.93%"
"11/12/2023","465.91","447.25","467.65","442.60","18.45M","4.17%"
"11/05/2023","447.24","434.38","447.48","429.61","15.83M","3.44%"
"10/29/2023","432.36","402.35","434.82","399.41","22.14M","8.67%"
"10/22/2023","397.87","403.32","418.84","395.62","32.00M","-0.77%"
"10/15/2023","400.96","356.21","410.64","344.73","63.32M","12.73%"
"10/08/2023","355.68","378.05","388.70","352.05","33.43M","-6.77%"
"10/01/2023","381.51","377.48","394.90","367.24","26.10M","1.04%"
"09/24/2023","377.60","382.90","386.62","371.10","20.27M","-0.58%"
"09/17/2023","379.81","395.50","399.46","378.36","21.91M","-4.32%"
"09/10/2023","396.94","443.07","449.89","395.03","37.71M","-10.36%"
"09/03/2023","442.80","438.39","453.45","436.70","15.65M","0.66%"
"08/27/2023","439.88","418.04","445.50","413.27","19.64M","5.73%"
"08/20/2023","416.03","402.23","437.02","399.50","26.72M","2.84%"
"08/13/2023","404.53","421.99","429.12","398.15","21.64M","-4.06%"
"08/06/2023","421.66","436.45","443.57","421.33","21.79M","-2.30%"
"07/30/2023","431.60","426.51","445.25","426.27","28.94M","1.37%"
"07/23/2023","425.78","425.00","430.88","411.88","32.17M","-0.40%"
"07/16/2023","427.50","445.57","485.00","423.19","82.42M","-3.26%"
"07/09/2023","441.91","438.52","456.48","431.04","27.91M","0.87%"
"07/02/2023","438.10","439.76","450.97","430.72","19.72M","-0.54%"
"06/25/2023","440.49","422.43","444.12","411.50","30.55M","3.88%"
"06/18/2023","424.02","430.18","440.00","417.73","23.08M","-1.84%"
"06/11/2023","431.96","418.83","448.65","416.57","38.06M","2.84%"
"06/04/2023","420.02","400.47","425.90","396.34","42.54M","4.88%"
"05/28/2023","400.47","397.48","407.52","385.79","30.92M","5.70%"
"05/21/2023","378.88","365.36","383.76","354.31","35.87M","3.70%"
"05/14/2023","365.36","340.62","375.87","329.61","39.73M","7.49%"
"05/07/2023","339.89","322.99","348.17","322.03","29.44M","5.31%"
"04/30/2023","322.76","329.43","331.23","315.62","22.59M","-2.17%"
"04/23/2023","329.93","330.20","334.66","317.44","25.48M","0.59%"
"04/16/2023","327.98","338.00","338.39","316.10","62.50M","-3.15%"
"04/09/2023","338.63","335.27","347.14","330.04","23.43M","-0.21%"
"04/02/2023","339.33","341.83","349.80","332.63","16.58M","-1.78%"
"03/26/2023","345.48","327.55","345.84","321.28","34.14M","5.20%"
"03/19/2023","328.39","299.79","331.83","293.54","44.47M","8.20%"
"03/12/2023","303.50","287.34","316.60","285.33","36.30M","3.67%"
"03/05/2023","292.76","317.00","323.30","289.00","26.90M","-7.11%"
"02/26/2023","315.18","323.87","330.00","310.38","25.60M","-0.62%"
"02/19/2023","317.15","342.85","344.13","314.30","30.33M","-8.85%"
"02/12/2023","347.96","349.50","363.75","342.44","26.24M","0.17%"
"02/05/2023","347.36","363.64","373.83","347.14","31.73M","-5.07%"
"01/29/2023","365.90","358.44","379.43","348.71","36.05M","1.42%"
"01/22/2023","360.77","341.71","369.02","340.63","50.17M","5.33%"
"01/15/2023","342.50","331.08","344.00","313.39","63.50M","2.91%"
"01/08/2023","332.82","316.83","336.65","311.07","48.56M","5.47%"
"01/01/2023","315.55","298.06","316.77","288.70","33.40M","7.01%"
"12/25/2022","294.88","293.19","295.50","273.41","28.90M","-0.03%"
"12/18/2022","294.96","289.73","300.66","280.81","31.57M","1.46%"
"12/11/2022","290.71","320.00","332.72","286.55","60.25M","-9.16%"
"12/04/2022","320.01","316.46","329.00","302.10","45.01M","-0.12%"
"11/27/2022","320.41","284.00","321.99","275.94","53.92M","12.21%"
"11/20/2022","285.54","291.00","292.47","277.34","22.66M","-0.85%"
"11/13/2022","287.98","290.00","312.71","287.00","58.88M","-0.74%"
"11/06/2022","290.13","261.06","290.66","252.09","42.12M","11.25%"
"10/30/2022","260.79","295.13","299.70","255.32","42.97M","-11.81%"
"10/23/2022","295.72","290.23","305.63","280.36","68.75M","2.12%"
"10/16/2022","289.57","234.41","290.75","234.40","135.62M","25.90%"
"10/09/2022","230.00","225.64","238.80","211.73","71.02M","2.34%"
"10/02/2022","224.75","237.85","245.80","224.28","52.40M","-4.54%"
"09/25/2022","235.44","225.60","246.98","220.72","64.42M","3.99%"
"09/18/2022","226.41","245.05","250.49","221.43","64.34M","-5.71%"
"09/11/2022","240.13","233.61","242.29","215.80","60.65M","2.81%"
"09/04/2022","233.57","225.59","234.78","214.69","29.06M","3.30%"
"08/28/2022","226.11","221.93","233.88","218.74","36.92M","1.27%"
"08/21/2022","223.28","232.55","236.95","223.15","28.45M","-7.41%"
"08/14/2022","241.16","248.11","251.99","235.68","30.08M","-3.27%"
"08/07/2022","249.30","227.49","251.62","224.65","41.31M","9.93%"
"07/31/2022","226.78","223.10","232.07","220.88","30.97M","0.84%"
"07/24/2022","224.90","221.31","230.75","211.64","48.99M","2.02%"
"07/17/2022","220.44","192.50","229.35","188.40","139.66M","16.57%"
"07/10/2022","189.11","184.73","189.22","169.70","50.99M","1.14%"
"07/03/2022","186.98","176.28","190.21","172.68","25.26M","3.90%"
"06/26/2022","179.95","191.77","192.20","170.30","34.43M","-5.71%"
"06/19/2022","190.85","177.60","191.19","169.80","46.15M","8.74%"
"06/12/2022","175.51","177.07","183.85","164.28","54.51M","-4.06%"
"06/05/2022","182.94","202.09","207.38","180.85","37.48M","-8.06%"
"05/29/2022","198.98","196.18","205.47","190.80","36.63M","1.94%"
"05/22/2022","195.19","186.15","195.25","177.17","42.47M","4.74%"
"05/15/2022","186.35","193.30","195.89","175.71","56.57M","-0.69%"
"05/08/2022","187.64","177.65","187.77","162.71","71.38M","3.69%"
"05/01/2022","180.97","191.71","204.38","175.81","69.81M","-4.93%"
"04/24/2022","190.36","213.81","216.66","185.60","108.52M","-11.67%"
"04/17/2022","215.52","340.00","351.68","210.05","250.42M","-36.82%"
"04/10/2022","341.13","350.00","359.41","339.86","15.18M","-4.14%"
"04/03/2022","355.88","373.55","396.02","353.69","24.57M","-4.71%"
"03/27/2022","373.47","375.23","396.50","366.73","23.01M","-0.10%"
"03/20/2022","373.85","378.02","386.66","366.43","20.30M","-1.77%"
"03/13/2022","380.60","338.72","381.80","329.82","32.49M","11.84%"
"03/06/2022","340.32","360.41","367.02","340.00","28.28M","-5.92%"
"02/27/2022","361.73","387.33","397.75","357.17","25.09M","-7.44%"
"02/20/2022","390.80","388.95","392.42","354.72","23.22M","-0.13%"
"02/13/2022","391.29","387.59","409.36","385.70","29.35M","-0.01%"
"02/06/2022","391.31","410.17","412.98","387.65","38.80M","-4.60%"
"01/30/2022","410.17","401.97","458.48","396.64","74.66M","6.72%"
"01/23/2022","384.36","383.91","394.80","351.46","96.51M","-3.31%"
"01/16/2022","397.50","520.08","526.64","379.99","80.76M","-24.39%"
"01/09/2022","525.69","538.49","544.27","511.88","23.69M","-2.84%"
"01/02/2022","541.06","605.61","609.99","538.22","20.71M","-10.19%"
"12/26/2021","602.44","615.00","620.61","602.05","8.85M","-1.90%"
"12/19/2021","614.09","586.43","616.88","584.26","9.63M","4.66%"
"12/12/2021","586.73","612.00","612.64","581.74","15.95M","-4.08%"
"12/05/2021","611.66","606.01","632.46","601.00","13.55M","1.58%"
"11/28/2021","602.13","663.20","675.38","594.00","20.20M","-9.54%"
"11/21/2021","665.64","676.02","679.48","646.05","9.83M","-1.94%"
"11/14/2021","678.80","681.23","700.99","671.49","12.31M","-0.56%"
"11/07/2021","682.61","650.29","683.34","642.11","14.78M","5.71%"
"10/31/2021","645.72","689.06","689.97","645.01","19.48M","-6.46%"
"10/24/2021","690.31","663.74","690.97","657.07","15.70M","3.84%"
"10/17/2021","664.78","632.10","665.46","617.15","37.55M","5.81%"
"10/10/2021","628.29","633.20","639.42","621.99","15.30M","-0.69%"
"10/03/2021","632.66","613.39","646.84","594.68","25.94M","3.18%"
"09/26/2021","613.15","587.95","619.00","576.93","23.86M","3.50%"
"09/19/2021","592.39","586.79","599.32","568.08","14.66M","0.52%"
"09/12/2021","589.35","598.57","598.57","575.37","15.25M","-1.57%"
"09/05/2021","598.72","594.69","615.60","593.67","18.16M","1.39%"
"08/29/2021","590.53","557.25","598.76","556.45","19.36M","5.66%"
"08/22/2021","558.92","545.98","564.17","543.74","11.63M","2.20%"
"08/15/2021","546.88","515.24","551.39","512.30","18.20M","6.00%"
"08/08/2021","515.92","521.15","522.67","507.20","8.87M","-0.89%"
